,key,values
339,"['SF6_CO2-ekv.', '0.4', '2009']",['72.2']
340,"['SF6_CO2-ekv.', '0.4', '2010']",['65.4']
341,"['SF6_CO2-ekv.', '0.4', '2011']",['57.1']
342,"['SF6_CO2-ekv.', '0.4', '2012']",['54.8']
343,"['SF6_CO2-ekv.', '0.4', '2013']",['43.3']
344,"['SF6_CO2-ekv.', '0.4', '2014']",['47.3']
345,"['SF6_CO2-ekv.', '0.4', '2015']",['54.8']
346,"['SF6_CO2-ekv.', '0.4', '2016']",['59.2']
347,"['SF6_CO2-ekv.', '0.4', '2017']",['47.2']
348,"['SF6_CO2-ekv.', '0.4', '2018']",['34.0']
349,"['SF6_CO2-ekv.', '0.4', '2019']",['35.3']
350,"['SF6_CO2-ekv.', '0.4', '2020']",['38.2']
351,"['SF6_CO2-ekv.', '0.4', '2021']",['39.6']
